name,importance
主营业务,0.0012602799345994191
变化,0.00125147938319231
首次,0.001247449034638235
今年,0.001245446463627552
公司业绩,0.0012452703816432818
达到,0.0012281038756842666
关闭,0.0012223297278896041
基础,0.0012217201462269495
原材料,0.0012096411238778143
放缓,0.0012087475719125367
购买,0.0012055214548161123
政策,0.0012010818152806161
产业链,0.0012003486594959584
弹性,0.00119916108408577
控股,0.0011971810863882326
获得,0.001185875979161336
方面,0.0011837530148594432
新增,0.0011837069166176833
迎来,0.00117729990942103
鉴于,0.001169698204753621
收益,0.001166189886009682
销售,0.0011649440916392008
培育,0.0011613113066925509
客户,0.001153914465446988
品牌,0.0011468768389143492
产能,0.0011453751329605086
之前,0.0011334731568559684
一定,0.0011227254373122292
期待,0.0011070019136239673
上涨,0.0011030749686515794
增幅,0.00110039466369308
预案,0.0010991286098959413
股价,0.0010845150712058182
调整,0.0010537656831205184
全国,0.001039187969073721
比例,0.0010247592623676485
财务费用,0.0010201228273682623
关注,0.0010176885640600852
出现,0.0009983400148322438
销售收入,0.0009862159423590186
当前,0.0009816229797943942
市场竞争,0.000978558732389391
并购,0.000973545879538555
板块,0.0009697469870272968
利息支出,0.0009689251128024865
下游,0.0009671160812797755
为主,0.0009624564472194583
协议,0.0009607832831028392
